"SGU_kartiert"	"SGUcode"	"TRI_hr_ws31"	"vectorruggedness_hr_ws57"	"preds"
"278"	"TG"	"15"	16.2775014600446	0.0450275747728393	"TG"
"279"	"TG"	"15"	16.6622146021935	0.0342935889058995	"TG"
"280"	"TG"	"15"	4.26404327730979	0.00686289319611377	"TG"
"281"	"TG"	"15"	2.07228958222174	0.00208861939815097	"TG"
"282"	"ISR"	"15"	13.0174328281033	0.0369827014480759	"TG"
"283"	"SD"	"15"	21.4256156490695	0.0825495377324738	"SD"
"284"	"AD"	"15"	2.42731022834778	0.00772538698351422	"TG"
"285"	"TG"	"15"	19.9105999546666	0.0564158548286351	"TG"
"286"	"TG"	"15"	3.09736691751788	0.00281810042872255	"TG"
"287"	"MxD"	"15"	26.327903316867	0.0981946728306357	"MxD"
"288"	"MxD"	"15"	13.610756328029	0.0290542549578062	"TG"
"289"	"MxD"	"15"	16.8387902167536	0.0277727887270136	"TG"
"290"	"TG"	"15"	7.28820087063697	0.00311619905406169	"TG"
"291"	"TG"	"15"	10.686570221378	0.00458787758114376	"TG"
"292"	"TG"	"15"	13.2373870111281	0.05107803737015	"TG"
"293"	"TG"	"15"	7.28820087063697	0.00311619905406169	"TG"
"294"	"TG"	"15"	19.9506839782961	0.0485374677481368	"TG"
"295"	"TG"	"15"	17.6642536501731	0.0734780540598984	"TG"
"296"	"TG"	"15"	13.8924091631366	0.0264315898758902	"TG"
"297"	"TG"	"15"	14.2491759638632	0.0350693609981572	"TG"
"298"	"TG"	"15"	15.6231467954574	0.0952076773185836	"TG"
"299"	"TG"	"15"	4.34278927310821	0.00711414611713723	"TG"
"300"	"TG"	"15"	4.34278927310821	0.00711414611713723	"TG"
"301"	"TG"	"15"	12.8689781158201	0.00555822486393043	"TG"
"302"	"TG"	"15"	12.8689781158201	0.00555822486393043	"TG"
"303"	"TG"	"15"	7.00590367471018	0.00575043462397895	"TG"
"304"	"TG"	"15"	17.0760883669699	0.0135014608344723	"TG"
"305"	"SD"	"15"	6.14464943639694	0.00287314545985484	"TG"
"306"	"TG"	"15"	18.1277932043998	0.0741694313688659	"TG"
"307"	"GLD"	"15"	0.590920940522225	0.0011682369792223	"GLD"
"308"	"TG"	"15"	19.9107799222392	0.0457365934905548	"TG"
"309"	"TG"	"15"	16.4060972275272	0.0974677830815915	"TG"
"310"	"TG"	"15"	9.50380546815934	0.0227875305351055	"TG"
"311"	"TG"	"15"	7.45721269422962	0.0293422801547409	"TG"
"312"	"TG"	"15"	15.9872181953922	0.0357847057330558	"TG"
"313"	"MxD"	"15"	11.3777977574256	0.0482339409382184	"TG"
"314"	"TG"	"15"	6.23706948372626	0.0383927289011243	"TG"
"315"	"SD"	"15"	15.5339381617884	0.066115603888793	"TG"
