profilnummer	bezeichnung	tiefe	ph_wert	carbonat_klasse	carbonat_wert	bodenart	textur	humus_klasse	humus_wert	skelett_wert	skelett_klasse	skelett_text	dichte_klasse	dichtklasse_text	gefuege1	gefuege_text	poroes	gefuege_text2	gefuege_auspraegung	zerdürckbar	gefuege1_anteil	gefuege2	T	U	fS	S	ton	schluff	sand	SohnefS
18	Bt2	148	6.76	NA	0	231	lS - lehmiger Sand	NA	0.15	NA	199	Sehr geringer Grobanteil	50	dicht	440	Polyeder	-	Mittel-grob	mäßig	leicht	100		9	27	32	64	9	38	53	32
18	Bct	173	6.74	NA	0	231	lS - lehmiger Sand	NA	0.09	NA	199	Sehr geringer Grobanteil	50	dicht	399	Kohärentgefüge	-	sehr leicht zerdrückbar		sehr leicht	100		5	21	36	74	5	33	62	38
18	CB	200	6.88	NA	0	121	uS - schluffiger Sand	NA	0.1	NA	199	Sehr geringer Grobanteil	20	locker	399	Kohärentgefüge	-	zerfallend		zerfallend	100		3	31	31	66	3	41	56	35
19	Ap1	10	5.55	NA	0	231	lS - lehmiger Sand	NA	3.58	NA	199	geringer Grobanteil	20	locker	450	Subpolyeder	-	Fein-mittel	schwach	leicht	100		9	31	14	60	9	36	55	46
19	Ap2	72	6.165	NA	0	231	lS - lehmiger Sand	NA	0.87	NA	199	geringer Grobanteil	20	locker	450	Subpolyeder	-	Fein-grob	schwach	leicht	100		9	31	16	60	9	36	55	44
19	Bct	90	6.17	NA	0	121	uS - schluffiger Sand	NA	0.19	NA	199	geringer Grobanteil	30	mittel	399	Kohärentgefüge	-	mäßig leicht zerdrückbar		Mäßig-leicht	100		4	27	17	69	4	33	63	52
19	BC	125	6.45	NA	0	231	lS - lehmiger Sand	NA	0.05	NA	199	geringer Grobanteil	50	dicht	399	Kohärentgefüge	-	mäßig schwer zerdrückbar		Mäßig-schwer	100		5	34	15	61	5	39	56	46
20	Ap1	20	7.31	NA	17	231	lS - lehmiger Sand	NA	2.99	NA	199	geringer Grobanteil	20	locker	399	Kohärent und Bröckel	-	leicht zerdrückbar		leicht	50		6	26	20	68	6	33	61	48
20	Ap2	47	7.41	NA	19	231	lS - lehmiger Sand	NA	8.31	NA	199	geringer Grobanteil	30	mittel	450	Subpolyeder	-	mittel	mäßig	leicht	100		8	38	10	54	8	41	51	44
20	Cg1	75	7.48	NA	20	202	U - Schluff	NA	18.75	NA	199	geringer Grobanteil	30	mittel	450	Subpolyeder	-	mittel	mäßig	sehr leicht	100		10	74	6	16	10	76	14	10
20	Cg2	110	7.7	NA	11	212	sU - sandiger Schluff	NA	2.05	NA	199	geringer Grobanteil	30	mittel	440	Polyeder		grob	mäßig	sehr leicht	100		8	45	32	47	8	56	36	15
21	Ap1	30	7.19	NA	8	313	sL - sandiger Lehm	NA	2.72	NA	199	geringer Grobanteil	30	mittel	450	Subpolyeder	ja	Mittel-grob	mäßig	leicht	100		17	39	12	44	17	43	40	32
21	Ap2	60	7.34	NA	1	313	sL - sandiger Lehm	NA	1.49	NA	299	mittlerer Grobanteil	30	mittel	450	Subpolyeder	ja	Mittel-grob	mäßig	leicht	100		19	35	12	46	19	39	42	34
21	Bct	100	7.26	NA	0	313	sL - sandiger Lehm	NA	0.17	NA	299	mittlerer Grobanteil	50	dicht	440	Polyeder	-	grob	mittel	Mäßig-schwer	100		15	39	9	46	15	42	43	37
21	Ct	135	7.41	NA	0	313	sL - sandiger Lehm	NA	0.1	NA	399	starker grobanteil	30	mittel	399	Kohärentgefüge	-			leicht	100		15	34	10	51	15	37	48	41
22	Ap1	24	6.15	NA	1	231	lS - lehmiger Sand	NA	1.5	NA	199	geringer Grobanteil	20	locker	450	Subpolyeder	ja	mittel	schwach	leicht	100		11	34	14	55	11	39	50	41
22	Ap2	60	5.9	NA	0	231	lS - lehmiger Sand	NA	2.51	NA	199	geringer Grobanteil	20	locker	450	Subpolyeder	ja	mittel	schwach	sehr leicht	100		11	35	13	54	11	39	50	41
22	Bck	82	7.67	NA	7	231	lS - lehmiger Sand	NA	0.27	NA	199	geringer Grobanteil	30	mittel	440	Polyeder	-	Mittel-grob	mäßig	leicht	100		6	34	14	60	6	39	55	46
22	2Ck	115	7.77	NA	6	101	S - Sand	NA	0.15	NA	399	starker grobanteil	20	locker	399	Kohärentgefüge	-			sehr leicht	100		4	24	11	72	4	27	69	61
23	Ap1	14	5.95	NA	0	313	sL - sandiger Lehm	NA	3.13	NA	199	geringer Grobanteil	20	locker	450	Subpolyeder und Krümel	-			leicht	50	470	15	39	13	46	15	43	42	33
23	Ap2	43	5.93	NA	0	231	lS - lehmiger Sand	NA	1.6	NA	199	geringer Grobanteil	20	locker	450	Subpolyeder		Mittel-fein	mäßig	leicht	100		13	34	17	53	13	40	47	36
23	Bt1	80	6.14	NA	0	231	lS - lehmiger Sand	NA	0.35	NA	299	mittlerer Grobanteil	20	locker	450	Subpolyeder		Mittel-fein	mäßig	leicht	100		10	28	13	62	10	32	58	49
23	Bt2	100	6.17	NA	0	231	lS - lehmiger Sand	NA	0.21	NA	299	mittlerer Grobanteil	20	locker	450	Subpolyeder		Mittel-grob	schwach	sehr leicht	100		7	29	13	64	7	33	60	51
23	BC	120	6.28	NA	0	231	lS - lehmiger Sand	NA	0.24	NA	299	mittlerer Grobanteil	20	locker	450	Subpolyeder		Mittel-grob	schwach	sehr leicht	100		7	27	14	66	7	32	61	52
23	CB	170	6.34	NA	0	101	S - Sand	NA	0.05	NA	299	mittlerer Grobanteil	30	mittel	399	Kohärentgefüge				leicht	100		3	23	16	74	3	28	69	58
24	Ap1	15	7.01	NA	2	313	sL - sandiger Lehm	NA	4.87	NA	199	geringer Grobanteil	20	locker	450	Subpolyeder	ja	Mittel-grob	mittel	leicht	100		15	29	16	56	15	34	51	40
24	Ap2	50	6.88	NA	0	231	lS - lehmiger Sand	NA	2.36	NA	199	geringer Grobanteil	20	locker	450	Subpolyeder	ja	Mittel-grob	mittel	sehr leicht	100		13	34	15	53	13	39	48	38
24	Ap3	90	6.96	NA	0	231	lS - lehmiger Sand	NA	0.83	NA	199	geringer Grobanteil	20	locker	450	Subpolyeder	-	Mittel-grob	mittel	sehr leicht	100		14	36	17	50	14	42	44	33
24	2B	145	6.83	NA	0	231	lS - lehmiger Sand	NA	0.51	NA	199	Sehr geringer Grobanteil	30	mittel	450	Subpolyeder	-	Mittel-grob	mittel	leicht	100		13	43	20	44	13	50	37	24
25	Ap1	35	5.62	NA	0	231	lS - lehmiger Sand	NA	1.68	NA	199	geringer Grobanteil	30	mittel	450	Subpolyeder	ja	Mittel-grob	mäßig	leicht	100		11	34	20	55	11	41	48	35
25	Ap2	63	5.93	NA	0	231	lS - lehmiger Sand	NA	1.86	NA	199	geringer Grobanteil	30	mittel	450	Subpolyeder	ja	mittel	schwach	sehr leicht	100		12	32	19	56	12	38	50	37
25	E	92	6.38	NA	0	231	lS - lehmiger Sand	NA	0.44	NA	199	Sehr geringer Grobanteil	20	locker	450	Subpolyeder	-	Mittel-grob	schwach	sehr leicht	100		11	42	25	47	11	50	39	22
25	Bt1	115	6.46	NA	0	231	lS - lehmiger Sand	NA	0.3	NA	199	Sehr geringer Grobanteil	30	mittel	440	Polyeder	-	Mittel-grob	mittel	sehr leicht	100		10	44	26	46	10	53	37	20
25	Bt2	140	6.58	NA	0	231	lS - lehmiger Sand	NA	0.15	NA	399	starker grobanteil	30	mittel	440	Polyeder	-	Mittel-grob	schwach	leicht	100		9	32	19	59	9	38	53	40
26	Ap1	12	5.64	NA	0	231	lS - lehmiger Sand	NA	4.39	NA	199	geringer Grobanteil	30	mittel	450	Subpolyeder	-	mittel	mäßig	leicht	100		11	29	11	60	11	33	56	49
26	Ap2	48	6.08	NA	0	231	lS - lehmiger Sand	NA	1.06	NA	299	mittlerer Grobanteil	30	mittel	450	Subpolyeder	-	mittel	mäßig	leicht	100		12.5	25.5	12.5	62	12.5	30	57.5	49.5
26	Bct	64	7.15	NA	2	231	lS - lehmiger Sand	NA	0.38	NA	299	mittlerer Grobanteil	30	mittel	450	Subpolyeder	-	mittel	mittel	leicht	100		14	25	14	61	14	30	56	47
26	C	115	7.72	NA	7	231	lS - lehmiger Sand	NA	0.05	NA	299	mittlerer Grobanteil	20	locker	399	Kohärentgefüge	-	-	-	sehr leicht	100		5	28	12	67	5	32	63	55
27	Ap1	20	6.15	NA	0	231	lS - lehmiger Sand	NA	2.67	NA	199	geringer Grobanteil	20	locker	450	Subpolyeder	ja	mittel	schwach	leicht	100		10	25	15	65	10	30	60	50
