profilnummer	bezeichnung	tiefe	ph_wert	carbonat_klasse	carbonat_wert	bodenart	bodenart_text	humus_klasse	humus_wert	skelett_wert	skelett_klasse	skelett_text	dichte_klasse	dichtklasse_text	gefuege1	gefuege_text	poroes	gefuege_text2	gefuege_auspraegung	zerdürckbar	gefuege1_anteil	T	U	fS	S	ton	schluff	sand
40	C3	120	7.81		37				0.14		599	skelettboden			299	Einzelkorn	-	-	-	-		5	23	10	72			
40	C4	160	7.73		33				0.01		299	mittlerer Grobanteil			299	Einzelkorn	-	-	-	-		3	8	10	89			
41	Ap1	16	5.39		0				2.58		299	mittlerer Grobanteil			470	Krümel	-	mittel	schwach	leicht		13	37	15	49			
41	Ap2	55	4.93		0				0.95		299	mittlerer Grobanteil			450	Subpolyeder	-	Mittel-grob	mäßig	leicht		13	36	16	51			
41	Bt	85	5.1		0				0.27		299	mittlerer Grobanteil			450	Subpolyeder	ja	Mittel-grob	mäßig	leicht		11	28	14	61			
41	Bct	115	5.39		0				0.14		299	mittlerer Grobanteil			450	Subpolyeder	-	grob	schwach	leicht		7	25	12	68			
41	Cbt	160	5.67		0				0.09		299	mittlerer Grobanteil			399	Kohärentgefüge	-	-	-	leicht		7	38	16	55			
42	Ap1	18	6.93		5				4.18		299	mittlerer Grobanteil			450	Subpolyeder	ja	mittel	mäßig	leicht		27	42	11	31			
42	Ap2	40	6.99		2				2.53		199	geringer Grobanteil			450	Subpolyeder	ja	Mittel-grob	deutlich	leicht		28	41	12	31			
42	B	120	7.11		1				0.49		199	geringer Grobanteil			450	Subpolyeder	-	Mittel-grob	stark	leicht		25	56	13	30			
42	BC	150	7.62		30				0.23		199	geringer Grobanteil			399	Kohärentgefüge	-	-	-	leicht		15	70	9	15			
43	Ap1	15	6.73		11				4.15		199	geringer Grobanteil			450	Subpolyeder	ja	Mittel-grob	mäßig	leicht		14	31	15	55			
43	Ap2	53	7.14		9				1.18		299	mittlerer Grobanteil			450	Subpolyeder	ja	Mittel-grob	mäßig	leicht		14	33	16	53			
43	2C	110	7.61		4				0.17		199	geringer Grobanteil			399	Kohärentgefüge	-	-	-	leicht		6	39	18	55			
44	Ap1	28	6.81		3				1.4		299	mittlerer Grobanteil			470	Krümel und Einzelkorn	ja	Mittel-fein	schwach	sehr leicht		7	14	6	79			
44	Ap2	65	6.8		4				1.89		399	starker grobanteil			299	Einzelkorn	ja	-	-	-		7	16	6	77			
44	C	120	6.99		2				0.86		499	sehr starker Grobanteil			299	Einzelkorn	ja	-	-	-		8	16	8	76			
45	Ap1	18	5.88		0				2.05		199	geringer Grobanteil			450	Subpolyeder	ja	Mittel-fein	mäßig	leicht		14	33	15	53			
45	Ap2	50	6.11		0				0.85		199	geringer Grobanteil			450	Subpolyeder	ja	mittel	mäßig	leicht		15	33	15	52			
45	Bt	83	6.21		0				0.22		299	mittlerer Grobanteil			450	Subpolyeder		mittel	mäßig	leicht		20	20	11	60			
45	BC	115	6.4		0				0.12		299	mittlerer Grobanteil			399	Kohärent und Einzelkorn	-	-	-	-	50	8	17	17	75			
46	Ap1	40	6.05		0				4.51		199	geringer Grobanteil			450	Subpolyeder	ja	Mittel-grob	mäßig	leicht		19	39	13	42			
46	Ap2	75	6.02		0				0.84		199	geringer Grobanteil			450	Subpolyeder	ja	Mittel-grob	mäßig	leicht		19	38	12	43			
46	B	130	6.13		0				0.4		199	Sehr geringer Grobanteil			450	Subpolyeder	ja	mittel	mäßig	sehr leicht		18	39	18	43			
47	Ap1	18	6.23		0				2.01		299	mittlerer Grobanteil			450	Subpolyeder	ja	Mittel-fein	mäßig	leicht		13	32	14	55			
47	Ap2	65	6.28		0				1.04		299	mittlerer Grobanteil			450	Subpolyeder	ja	Mittel-grob	schwach	leicht		13	32	16	55			
47	Bt	125	6.53		0				0.18		299	mittlerer Grobanteil			450	Subpolyeder	ja	Mittel-grob	deutlich	leicht		11	19	17	70			
47	BC	150	6.61		0				0.08		299	mittlerer Grobanteil			399	Kohärentgefüge	-	-	-	leicht		6	21	14	73			
48	Ap1	12	5.87		0				3.13		299	mittlerer Grobanteil			450	Subpolyeder und Krümel	ja	Fein-mittel	schwach	leicht	50	9	21	9	70			
48	Ap2	38	6.5		0				2.48		399	starker grobanteil			450	Subpolyeder	ja	mittel	schwach	sehr leicht		9	21	10	70			
48	B	110	6.37		0				0.42		499	sehr starker Grobanteil			299	Einzelkorn	ja	-	-	-		5	8	4	87			
49	Ap1	12	7.13		5				1.51		299	mittlerer Grobanteil			450	Subpolyeder und Krümel	-	Fein-mittel	mäßig	leicht	50	16	31	12	53			
49	Ap2	55	7.54		5				0.2		299	mittlerer Grobanteil			450	Subpolyeder	-	Mittel-grob	mäßig	leicht		17	33	11	50			
49	C1	75	7.64		7				0.1		499	sehr starker Grobanteil			299	Einzelkorn	-	-	-	-		12	17	5	71			
49	C2	85	7.77		11				0.12		299	mittlerer Grobanteil			399	Kohärentgefüge	-	-	-	-		37	45	7	18			
