profil	profilnummer	bezeichnung	tiefe	uebergang_cm	uebergang_form	art	umlagerung	ph_wert	bodenart	farbe_munsell	farbe_sonst	feinwurzeln	grobwurzeln	humus_klasse	humus_wert	skelett_wert	skelett_klasse	dichte_wert	dichte_klasse	carbonat_wert	carbonat_klasse	porositaet	gefuege1	gefuege1_anteil	gefuege2	gefuege2_anteil	fleckenzahl	fleckenart	konkretionen	artefakte	kommentar	bodenartlabor	ton	schluff	sand	sand_fein	sand_mittel	sand_grob	phmethode	fleckung	evaluate	Px01_Hu	Px02_Sk	Px03_Ld	Px03a_LdZ	Px04_FB	Px05_TM	Px06_HM	Px07_nFK	Px08_FK	Px09_LK	Px10_WSV	Px11_GPV	Px12_kf	Px13_KAKpot	Px14_KAKeff	Px15_Mb	
394	15	B1	90					6.18	sL - sandiger Lehm						0.48		gering (0 bis <10%)		mittel	0.0			Subpolyeder	100									15.0	41.0	44.0							0.48	5.0	Ld3	1.55	663.0	9945.0	3.2	73.0	145.0	28.0	101.0	173.0	16.0	11.0	10.0	80.0	
394	15	B2	130					6.5	lS - lehmiger Sand						0.26		gering (0 bis <10%)		mittel	0.0			Subpolyeder	100									10.0	43.0	47.0							0.26	5.0	Ld3	1.55	589.0	5890.0	1.5	80.0	116.0	29.0	109.0	144.0	20.0	8.0	7.0	90.0	
394	15	Bct	170					6.69	lS - lehmiger Sand						0.21		gering (0 bis <10%)		mittel	0.0			Polyeder	100									13.0	38.0	49.0							0.21	5.0	Ld3	1.55	589.0	7657.0	1.2	80.0	116.0	29.0	109.0	144.0	20.0	9.0	8.0	90.0	
395	16	Ap1	30					7.14	lS - lehmiger Sand						2.1		mäßig (10 bis <20%)		locker	3.0			Subpolyeder	100									6.0	50.0	44.0							2.1	15.0	Ld2	1.3	332.0	1992.0	7.0	66.0	99.0	28.0	66.0	116.0	300.0	10.0	10.0	95.0	
395	16	Ap2	65					7.31	lS - lehmiger Sand						1.45		mäßig (10 bis <20%)		locker	2.0			Subpolyeder	100									7.0	49.0	44.0							1.45	15.0	Ld2	1.3	387.0	2709.0	5.6	76.0	110.0	30.0	76.0	135.0	300.0	9.0	9.0	95.0	
395	16	2Ck	130					7.69	sU - sandiger Schluff						0.2		gering (0 bis <10%)		mittel	5.0			Kohärentgefüge	100									3.0	58.0	39.0							0.2	5.0	Ld3	1.55	957.0	2871.0	1.9	145.0	207.0	34.0	145.0	241.0	11.0	5.0	5.0	100.0	
396	17	Ap1	15					7.17	sL - sandiger Lehm						3.68		gering (0 bis <10%)		locker	6.0			Subpolyeder	100									17.0	35.0	48.0							3.68	5.0	Ld2	1.3	185.0	3145.0	6.8	33.0	64.0	14.0	33.0	71.0	300.0	18.0	18.0	95.0	
396	17	Ap2	60					7.32	sL - sandiger Lehm						1.33		gering (0 bis <10%)		mittel	3.0			Polyeder	50	Subpolyeder								19.0	36.0	45.0							1.33	5.0	Ld3	1.55	663.0	12597.0	8.8	75.0	156.0	30.0	75.0	173.0	16.0	14.0	14.0	95.0	
396	17	B1	110					7.34	sL - sandiger Lehm						0.35		gering (0 bis <10%)		mittel	1.0			Polyeder	100									15.0	46.0	39.0							0.35	5.0	Ld3	1.55	736.0	11040.0	2.6	81.0	162.0	31.0	81.0	192.0	16.0	11.0	11.0	95.0	
396	17	B2	150					7.46	sL - sandiger Lehm						0.38		mäßig (10 bis <20%)		mittel	2.0			Polyeder	100									15.0	46.0	39.0							0.38	15.0	Ld3	1.55	527.0	7905.0	2.0	58.0	116.0	22.0	58.0	138.0	16.0	11.0	11.0	95.0	
396	17	BC	170					7.43	lS - lehmiger Sand						0.26		gering (0 bis <10%)		mittel	1.0			Kohärentgefüge	100									12.0	53.0	35.0							0.26	5.0	Ld3	1.55	295.0	3540.0	0.8	40.0	58.0	14.0	40.0	72.0	20.0	9.0	9.0	95.0	
397	18	Ap1	12					5.72	lS - lehmiger Sand						1.52		gering (0 bis <10%)		locker	0.0			Kohärentgefüge	100									5.0	19.0	76.0							1.52	5.0	Ld2	1.3	148.0	740.0	2.2	29.0	42.0	11.0	40.0	52.0	45.0	6.0	4.0	70.0	
397	18	Ap2	55					6.12	lS - lehmiger Sand						0.96		gering (0 bis <10%)		locker	0.0			Kohärentgefüge	100									5.0	17.0	78.0							0.96	5.0	Ld2	1.3	531.0	2655.0	5.1	102.0	145.0	41.0	143.0	186.0	45.0	5.0	5.0	80.0	
397	18	E	115					6.64	lS - lehmiger Sand						0.2		gering (0 bis <10%)		locker	0.0			Kohärentgefüge	100									5.0	19.0	76.0							0.2	5.0	Ld2	1.3	741.0	3705.0	1.5	143.0	202.0	57.0	200.0	259.0	45.0	4.0	4.0	90.0	
397	18	Bt1	130					6.74	lS - lehmiger Sand						0.18		gering (0 bis <10%)		locker	0.0			Polyeder	100									8.0	35.0	57.0							0.18	5.0	Ld2	1.3	185.0	1480.0	0.3	36.0	51.0	14.0	50.0	65.0	45.0	6.0	5.0	90.0	
397	18	Bt2	148					6.76	lS - lehmiger Sand						0.15		gering (0 bis <10%)		dicht	0.0			Polyeder	100									9.0	38.0	53.0							0.15	5.0	Ld4	1.8	308.0	2772.0	0.5	31.0	47.0	9.0	40.0	56.0	11.0	7.0	6.0	90.0	
397	18	Bct	173					6.74	lS - lehmiger Sand						0.09		gering (0 bis <10%)		dicht	0.0			Kohärentgefüge	100									5.0	33.0	62.0							0.09	5.0	Ld4	1.8	428.0	2140.0	0.4	43.0	65.0	12.0	55.0	77.0	11.0	4.0	4.0	90.0	
397	18	CB	200					6.88	uS - schluffiger Sand						0.1		gering (0 bis <10%)		locker	0.0			Kohärentgefüge	100									3.0	41.0	56.0							0.1	5.0	Ld2	1.3	333.0	999.0	0.3	67.0	92.0	24.0	91.0	117.0	40.0	4.0	4.0	90.0	
398	19	Ap1	10					5.55	lS - lehmiger Sand						3.58		gering (0 bis <10%)		locker	0.0			Subpolyeder	100									9.0	36.0	55.0							3.58	5.0	Ld2	1.3	124.0	1116.0	4.4	25.0	37.0	10.0	25.0	43.0	300.0	13.0	9.0	70.0	
398	19	Ap2	72					6.165	lS - lehmiger Sand						0.87		gering (0 bis <10%)		locker	0.0			Subpolyeder	100									9.0	36.0	55.0							0.87	5.0	Ld2	1.3	766.0	6894.0	6.7	147.0	209.0	59.0	147.0	268.0	300.0	8.0	7.0	80.0	
398	19	Bct	90					6.17	uS - schluffiger Sand						0.19		gering (0 bis <10%)		mittel	0.0			Kohärentgefüge	100									4.0	33.0	63.0							0.19	5.0	Ld3	1.55	265.0	1060.0	0.5	39.0	51.0	12.0	39.0	63.0	20.0	4.0	4.0	80.0	
